ID;Nom du jeu
1;Paillettes Claquettes
2;Pépite
3;Rollie
4;La Scopette
5;Quiz Room - En Boîte
6;Machu Pichu
7;Dodelido
8;Eternal Decks
9;Dr Gribouille
10;Star Wars - La Bataille de Hoth
11;Terrorscape
12;La Traque
13;Unlock! Short Adventures - Le chant des Embruns
14;The Line
15;Unlock! - Enchanted Adventures
16;Mieze Katze
17;Take Time
18;Miams
19;Osmosis
20;In Extremis
21;20 Balles Pour Ca ?!
22;Splendor
23;DaDaDa
24;Come Sail Away!
25;Le Seigneur Des Anneaux - Le Destin De La Communauté
26;Casque Chèque Chat ?
27;Let's Summon Demons
28;Dame Nature
29;Pollen
30;Sub Terra II
31;Le Plus Proche Gagne
32;Century - Merveilles Orientales
33;Salton Sea
34;Top Ten - Aventures
35;Traq
36;Le Gourdineur
37;Rattus
38;Very Bad Lands - Brachio
39;Very Bad Lands - T-Rex
40;Once Upon A Draft
41;Rebelles Princesses
42;Marvel Villainous
43;Toy Battle
44;Blind Jack
45;La Communauté De L'Anneau
46;Kelp
47;L'Île Des Mots Dits
48;Nidavellir
49;Roméo & Juliette
50;Pierre Papier Morpion
51;The boss
52;Le Château Blanc
53;Mysterium Park
54;Jamaïca
55;Dojo kun
56;Duck & Cover
57;Mystères
58;Fil Rouge - Dans leurs Regards
59;Popcorn
60;Cyclades
61;Regicide
62;Jungo
63;Leaders
64;SETI
65;Wondrous Creatures
66;Canardage
67;The Same Game
68;Crack Story
69;5 millimètres ! (à vue de nez)
70;3 Secondes (pas plus !)
71;Présages
72;Zenith
73;Heroes Love to Lie
74;That's Not A Hat - Incognito
75;Mixart
76;Cachamot
77;Heredity - Les Mioches
78;Heredity
79;Hantise
80;Danger
81;Living Forest Duel
82;Symbiose
83;Ito
84;Mime Master
85;Agent Avenue
86;Lacuna
87;Opération Zèbre
88;Flip 7
89;Kutná Hora
90;Captain Flip
91;Sankoré
92;Odin
93;Behind
94;For a Crown
95;Welcome to the Dungeon
96;20 Secondes de Feu
97;Sierra
98;Kronologic - Paris 1920
99;Punto
100;3000 Truands
101;Clans and Glory
102;The Gang
103;Tac-Tik
104;Codenames Duo
105;Courtisans
106;Northgard
107;Perspectives
108;Lipogram
109;Daybreak
110;Caesar!
111;Dracula vs Van Helsing
112;Stay Cool
113;Bomb Busters
114;Duel Pour La Terre Du Milieu
115;Château Combo
116;Cerbère
117;Unlock! Risky Adventures
118;Unlock! Short Adventures - Meurtre à Birmingham
119;Unlock! Short Adventures - Red Mask
120;Unlock! Short Adventures - Le Chat de M. Schrödinger
121;Prey Another Day
122;Papayoo
123;Cabanga
124;Skull King
125;Tell Me More
126;Lisboa
127;Alibis
128;Fil Rouge - L'Ombre Du Tigre
129;Jekyll vs Hyde
130;Dékal
131;Great Western Trail
132;Dictopia
133;Earth
134;Prophétie
135;Kites
136;Onix
137;Ink It !
138;Ancient Knowledge
139;À la recherche de la Planète X
140;Rivages
141;Flowers
142;Order Overload Cafe
143;Wonderland's War
144;El Grande
145;Middle Ages
146;Jekyll & Hyde vs Scotland Yard
147;Kipourkoi
148;Sync or Swim
149;L'Ombre du Kraken
150;The Vale of Eternity
151;Cheesenapping!
152;2 Pommes 3 Pains
153;Cat in the Box
154;Harmonies
155;Puerto Banana
156;Traître Mot
157;Boréal
158;Now!
159;Jungle Speed
160;Dobble
161;Profiler
162;Challengers! - Beach Cup
163;Mind Map
164;Planet Unknown
165;Kameloot
166;La Famiglia
167;Sur les traces de Darwin
168;Perfect words
169;Apiary
170;Décorum
171;Syncro
172;Crime Zoom - Oiseau de Malheur
173;Two Rooms and a Boom
174;Stella
175;Cartaventura - Caravanes
176;Cartaventura - Hollywood
177;Unlock! Supernatural Adventures
178;Andor - Chada & Thorn
179;Docteur Pilule
180;Nekojima
181;Iki - Akebono
182;Kauri
183;Ça tourne !
184;Castles of Mad King Ludwig
185;Sky Team
186;Forêt Mixte
187;Les Toits de Paris
188;Ligretto vert
189;Bazar Bizarre
190;Kluster
191;Mamma Mia !
192;Spy Guy
193;101
194;Diferencio
195;Quickshot
196;Faraway
197;Love Letter - Princesse Princesse
198;Dorfromantik
199;Qui l'a vu?
200;Bananagrams
201;Rights
202;Martian Dice
203;Zombie Dice
204;Tichu
205;Kinapa
206;Dice Academy
207;Origins 
208;Jeu de Nain Jaune
209;Flesh and Blood TCG - Blitz Deck - Kano
210;Tzolk'in
211;Darwin's Journey
212;18 - Soldats du feu
213;Barrage
214;My first Triominos
215;Traîtres à Bord !
216;Qwirkle
217;It's a Wonderful World
218;Isis & Osiris
219;1998 ISS
220;À la gloire d'Odin
221;Time's Up! family - versión verde
222;Agricola
223;5-Minute Marvel
224;Les Flammes d'Adlerstein
225;Through The Ages
226;Uluru
227;Antique
228;Las Vegas
229;Korsar
230;Picto Rush
231;Twin It!
232;Smart 10 - L'impertinent
233;QE
234;Leaping Lemmings
235;Luchador! Mexican Wrestling Dice
236;Unmatched - Cobble & Fog
237;Cranium
238;Nightmare Horror Adventures - Bienvenue au Manoir Crafton
239;Megawatts - Elektro Manager
240;Glen More
241;Race to the New Found Land
242;Pandemic Legacy - Saison 1
243;Timeline Challenge
244;Blokus
245;Bye Bye Mr. Fox!
246;La Course des Tortues
247;Aquarena
248;Le jeu aux mille titres
249;Scrabble Classique
250;Munchkin
251;Mascarade
252;Shamans
253;Galaxy Trucker
254;Rummikub
255;Cluedo
256;For Sale
