ID;Nom du jeu
1;Captain Flip - Dans la gueule du Kraken
2;Namiji - Aquamarine
3;Legions - Roi Estran
4;Dossiers Criminels - Stranger Things - L'ombre De Hawkins
5;Behind - Purple
6;7 Wonders Dice
7;Karvi
8;Map Masters
9;Splendor Kids
10;Concept - Kids Animaux
11;Styx
12;First Rat
13;Tír Na Nóg
14;Arigat?
15;Halli Galli
16;Ninja Taisen
17;Here to Slay
18;Azul - Les Vitraux de Sintra
19;Unlock! Mythic Adventures
20;Dossiers Criminels - Tragédie à Mykonos
21;Hanamikoji
22;Abyss - Playmat
23;Dossiers Criminels - Les Fantômes de Brandonsbury
24;Dossiers Criminels - Mystère Dans La Vallée Des Rois
25;Dossiers Criminels - Le Maestro Assassiné
26;Ark Nova
27;Mon p'tit Everdell
28;Everdell
29;Azul - Le Jardin de la Reine
30;Sub Terra II
31;Sub Terra
32;Dune Imperium - Insurrection
33;Dossiers Criminels Pocket - Qui A Tué Jasper Van Der Meer ?
34;Cascadia Rolling - Prairies
35;Dossiers Criminels - Le Secret Des Yakuzas
36;Dossiers Criminels - Disparition Aux Caraïbes
37;Dossiers Criminels Pocket - Qui A Tué Lord Ravary II ?
38;Dossiers Criminels Pocket - Qui A Tué Meredith Carter ?
39;Unlock! - Enchanted Adventures
40;Duel Pour Cardia
41;Take Time
42;Bomb Busters
43;Calico
44;Speedbac - Le carnage
45;Splendor - Tapis De Jeu
46;Fil Rouge - Vieux Chêne
47;Puzzle En Bois - Renard
48;Puzzle - Swinging Princess
49;Dobble Harry Potter
50;Kikafé?
51;Tarot
52;Paf dans Taggle - Version Augmentée
53;Jeu De Cartes Leclerc - Tour De France
54;Escape Game - Au cœur de l'Égypte
55;La Boîte À Énigmes Pas Si Scientifiques Que Ça
56;Marvel Dice Throne - Scarlet Witch / Thor / Loki / Spider-Man
57;Marvel Dice Throne - Captain Marvel / Black Panther / Dr Strange / Black Widow
58;Catan
59;The Red Dragon Inn
60;Takenoko
61;Quantik
62;Pictionary
63;Monopoly
64;La Boîte à questions Junior - Astérix
65;Citadelles
66;Charpentiers de la Mer du Nord
67;Dice Town
68;Room 25
69;Raids
70;Finca
71;Taboo
72;The Big Book of Madness
73;Bohnanza
74;Intime Conviction n°1 - L'affaire des Poissons de Chine
75;Intime Conviction - L'Affaire des Flammèches
76;Gauntlet of Fools
77;Gobi
78;Shadow Hunters
79;Mille Bornes
80;Hats
81;Chabyrinthe
82;Chakra - Yin Yang
83;Mimetix
84;Smile Life
85;Takenoko Chibis
86;Tokaido
87;Risk
88;My City
89;Les Gardiens de Havresac
90;Les Animaux de Baker Street
91;L'Ombre du Kraken
92;King of Tokyo - Monster Box
93;Welcome to the Moon
94;The Loop
95;Sobek 2 joueurs
96;Ricochet
97;Privacy No Limit
98;Paper Tales
99;Visite Royale
100;Ricochet³
101;Kanagawa
102;Hellton Palace
103;D'Orge et de Blé
104;Bunny Kingdom
105;Aqualin
106;Unmatched - Robin des Bois vs Bigfoot
107;Lacuna
108;Dimoi - Édition Couples
109;The Great Split
110;Dimoi - Amis
111;Clash of Magic Schools
112;Unmatched - Cobble & Fog
113;Sushi Go Party!
114;L'Île interdite
115;Greenville 1989
116;Catan - Duel
117;Branle-Bas de Wombat
118;7 Wonders Architects - Medals
119;Trivial Pursuit
120;Loco Momo
121;Labyrinthe
122;La Bonne Paye
123;Cluedo
124;Balloon Pop
125;Salade 2 Points
126;Rauha
127;Intime Conviction n°4 - L'affaire de la croque-mort
128;Intime Conviction n°3 - L'affaire du Bouchon de Liège
129;Complices
130;6 qui Surprend!
131;The Vale Of Eternity - Artifacts
132;Tantrix
133;Paku Paku
134;Limite Limite
135;King of New York
136;Akropolis - Athena
137;Unmatched Aventures - Chroniques Inouïes
138;Unmatched - Combats de Légende - Volume 2
139;Pigeon Pigeon
140;Focus
141;Flip Circus
142;Andor
143;Zéro à 100
144;Unmatched - Petit Chaperon rouge vs Beowulf
145;Time Bomb - Undercover
146;Spots Ou Encore !
147;Sherlock Holmes - les meurtres de la Tamise & autres enquêtes
148;Littoral
149;Imagine - Famille
150;Unmatched - Coup de Théatre
151;Sherlock Holmes - Les Francs-tireurs de Baker Street
152;Punto
153;Popcorn
154;Paranormal Detectives
155;Gold
156;Go Nuts !
157;The Crew - Mission Sous-Marine
158;Qwirkle
159;Pina Coladice
160;Le Roi Des Nains
161;King Of Tokyo Duel
162;Heredity
163;Codenames Duo
164;Targui
165;Le Château Blanc
166;Kutná Hora
167;Heroes Love to Lie
168;Diamant
169;Black Stories - Classique
170;The A.R.T. Project
171;Similo - Jurassic World
172;Similo - Animaux Sauvages
173;Shards Of Infinity
174;Khiva
175;Juduku
176;Jekyll & Hyde vs Scotland Yard
177;Similo - Harry Potter
178;Potage Sauvage
179;Mindbug - Bataille De Fruits Royale
180;Le Poker des cafards
181;Guilty - Monaco 1955
182;Guilty -  Houston 2015
183;Agent Avenue
184;Similo - Monstres
185;Similo - Le Seigneur des anneaux
186;Similo - Contes
187;Piège obscur
188;Mito
189;Enquêtes Express - Dans L'ombre De Peter
190;Crack Story
191;Trapwords
192;SETI
193;Sea of Clouds
194;Nekojima
195;Les Architectes d'Amytis
196;Cocoons
197;Welcome To Your Perfect Home
198;Unmatched - Houdini VS Le Génie
199;Salade de Cafards
200;Living Forest Duel
201;Gatsby
202;Dédale
203;Similo - Mythes
204;Similo - Histoire
205;Similo - Animaux
206;Cubosaurs
207;Arschmallows
208;Abra Chadabra
209;Villainous - Monstrueusement Malsains
210;Symbiose
211;Ruz7
212;Paper World
213;Faraway - Le Peuple Du Dessous
214;Enquêtes Express - Panique à Dinopark
215;Villainous - Cruellement infects
216;Potion Explosion
217;Last Message
218;Ekko
219;Dragardiens
220;Crack Word
221;Sync or Swim
222;Rivages
223;Railroad Ink Challenge
224;Mana
225;Color Words
226;Bitoku
227;Sur Les Traces De Darwin - Correspondances
228;Revelio
229;Treetopia
230;Splito
231;Rebelles Princesses
232;Mino Dice
233;Bluffer
234;Black Stories - Pas de bol !
235;Tails On Fire
236;Potion Explosion - Le Cinquième Ingrédient
237;My Island
238;Bambou
239;Aurum
240;6 Qui Prend !
241;Unmatched - Soleil Levant
242;Potion Explosion - Le 6e Apprenti
243;Kontour
244;Dékal
245;Undo - La fièvre du trésor
246;Sur les traces de Marie Curie
247;Squadro
248;Letter Jam
249;Les Jardins Suspendus
250;Kanagawa - Yokai
251;TTMC
252;Quoridor Classic
253;Quixo
254;Qawale
255;Pylos
256;Northgard
257;Splendor - Le Soleil ne se Couche Jamais
258;Puissance 4
259;Mastermind
260;Happy City
261;Dorfromantik
262;Dinner in Paris
263;Suspects 3
264;Quarto
265;Olé! Guacamolé
266;Mice and Mystics
267;Intrigue
268;7 Wonders Duel - Panthéon
269;Velonimo
270;Vampire La Mascarade - Héritage
271;Suspects 2
272;Strike
273;Blanc Manger Coco
274;Unlock! Supernatural Adventures
275;Unlock! Risky Adventures
276;Umbrella
277;Prey Another Day
278;Petits Secrets Entre Amis
279;Perspectives
280;Linq
281;Splendor
282;Sherlock Holmes - Jack l'Eventreur &  Aventures à West End
283;Enquêtes express
284;Dracula vs Van Helsing
285;CuBirds
286;5-Minutes Donjon
287;Splendor Duel
288;Rauha - Syntymä
289;Fou Fou Fou ! - Plaisir d'offrir !
290;Elawa
291;Duel Pour La Terre Du Milieu
292;Belladone Bluff
293;Bang!
294;Abyss
295;7 Wonders Duel
296;5-Minutes Mystère - Le Musée Tutti Quanti
297;Tokaido Duo
298;Tic Tac Boum
299;Perudo
300;Onitama
301;Mr. Jack - New York
302;Unlock! Game Adventures
303;Tisseurs de rêves
304;Reflecto
305;Petits meurtres & faits divers
306;Mysterium
307;Les Bâtisseurs Moyen-Âge
308;Just One
309;7 Wonders Duel - Agora
310;Via Magica
311;Spot it ! Disney 100 years of wonder
312;So Clover!
313;Siggil
314;Happy Salmon
315;Dobble Connect
316;Abalone
317;À l'ombre du Sakura
318;Mysterium Park
319;Left Right Dilemma
320;Imaginarium
321;Duck & Cover
322;Botanik
