ID;Nom du jeu
1;1000 Bornes
2;101
3;2 Pommes 3 Pains
4;50 Clues - Le Pendule Des Morts
5;7 Wonders
6;7 Wonders Architects
7;7 Wonders Duel
8;Abyss
9;Akropolis
10;Alice Is Missing
11;Altered
12;Antifa
13;Arackhan Wars
14;Archeos Society
15;Attrape Monstres
16;Avalon
17;Aïe Aïe Burrito
18;Bandido
19;Bang! The Bullet
20;Bataille Navale
21;Batman - Gotham City Chronicles : Arkham Asylum
22;Batman - Gotham City Chronicles : Versus Mode
23;Batman - Gotham City Chronicles : Wayne Manor
24;Batman : Gotham City Chronicles
25;Batman : Gotham City Chronicles - Batmobile
26;Boreal
27;Botanik
28;Branle-bas De Wombat
29;Brass Birmingham
30;Burger Quiz
31;Captain Flip
32;Carcassonne
33;Carcassonne - Ombres Et Brouillard
34;Cartaventura - Versailles
35;Cat In The Box
36;Catan
37;Catan - Extension Marins 5-6 Joueurs
38;Catan : À L'aube De L'humanité
39;Catan Marins
40;Celestia
41;Cerbère
42;Challengers Beach Club
43;Challengers!
44;Champions!
45;Chou Y Es-tu ?
46;Citadelles
47;Clank !
48;Clank! - Trésors Engloutis
49;Claustrophobia : 1643
50;Cluedo
51;Codex Naturalis
52;Colt Express
53;Concept
54;Contrario
55;Cortex Challenge
56;Cortex Challenge Kids
57;Courtisans
58;Crack List
59;Cro-magnon
60;Croque Carotte
61;Dead Of Winter
62;Diamant
63;Dice Forge
64;Dice Throne - Séraphine Vs Reine Vampire
65;Dice Throne – Cursed Pirate V. Artificer
66;Dice Throne – Tactician V. Huntress
67;Dicycle Race
68;District Noir
69;Dixit
70;Dobble Connect
71;Dobble Disney
72;Dobble Star Wars
73;Donuts
74;Dossiers Criminels - Disparition Aux Caraibes
75;Draftosaurus
76;Drunk
77;Dune 1993
78;Dune Imperium
79;Dungeons & Dragons : Le Jeu De Plateau
80;Dédale
81;Dékal
82;Elawa
83;Esquissé
84;Exploding Kitten
85;Faraway
86;Faux Raccords
87;Five Tribes
88;Flowers
89;Flyin' Goblins
90;Focus
91;Foret Mixte
92;Formule Dé
93;Galaxy Trucker
94;Galèrapagos
95;Ganymed
96;Hanabi
97;Haniwa
98;Happy City
99;Harmonies
100;Harry Potter Cortex
101;Hellton Palace
102;Hero Realms
103;Hero Realms - Clerc
104;Hero Realms - Guerrier
105;Hero Realms - Sorcier
106;Heroes Of Might & Magic Iii
107;Humans!!!
108;Imaginarium
109;Imagine
110;In Vino Morte
111;Infiltration
112;Ink It
113;It's A Wonderful World
114;Jaipur
115;Jamaïca
116;Jetlag
117;Jeu D'échecs
118;Jeu De Cochons
119;Jeu De L'oie
120;Jeu De Petits Chevaux Pliable
121;Just One
122;Katana
123;Kites
124;Kluster
125;Knarr
126;Korsar
127;La Bataille Des Patissorciers
128;La Bonne Paye
129;La Guerre De L'anneau
130;La Malédiction De La Momie
131;La Marche Du Crabe
