;nom;joueurs;age;duree_minutes;image_url
0;Duel Pour Cardia;2 — 4;9+;15;https://www.myludo.fr/img/jeux/1759436102/300/dk/88763.png
1;Behind - Purple;1+;10+;45 — 90;https://www.myludo.fr/img/jeux/1763063248/300/dk/88776.png
2;Agent Avenue;Duo;8+;15;https://www.myludo.fr/img/jeux/1746852544/300/df/83589.png
3;Bomb Busters;2 — 5;12+;30 — 60;https://www.myludo.fr/img/jeux/1752560085/300/cx/75440.png
4;Miams;2 — 5;10+;30 — 60;https://www.myludo.fr/img/jeux/1762459636/300/dh/85908.png
5;Zenith;2 — 4;12+;30;https://www.myludo.fr/img/jeux/1753050129/300/dc/80026.png
6;Tag Team;Duo;10+;15;https://www.myludo.fr/img/jeux/1762458113/300/dh/85065.png
7;7 Wonders Dice;2 — 7;10+;30;https://www.myludo.fr/img/jeux/1762378691/300/dj/87440.png
8;Take Time;2 — 4;10+;30;https://www.myludo.fr/img/jeux/1759586525/300/dh/85636.png
9;Eternal Decks;1 — 4;14+;30 — 40;https://www.myludo.fr/img/jeux/1763062739/300/dj/87023.png
10;Le Hobbit - Histoire D'Un Aller Et Retour;1 — 4;10+;30 — 60;https://www.myludo.fr/img/jeux/1762539019/300/dm/90147.png
11;Génial !;1 — 4;8+;45;https://www.myludo.fr/img/jeux/1744363019/300/df/83724.png
12;Présages;4 — 6;10+;20 — 30;https://www.myludo.fr/img/jeux/1762534962/300/dc/80650.png
13;Let'S Summon Demons;2 — 6;14+;30;https://www.myludo.fr/img/jeux/1755412152/300/bz/51309.png
14;Prey Another Day;2 — 5;8+;15;https://www.myludo.fr/img/jeux/1735196620/300/cy/76945.png
15;Flip 7;3+;8+;20;https://www.myludo.fr/img/jeux/1757258404/300/dc/80750.png
16;Jungo;3 — 5;10+;15;https://www.myludo.fr/img/jeux/1753035029/300/da/78952.png
17;Cluedo;2 — 6;8+;30 — 60;https://www.myludo.fr/img/jeux/1708430716/300/cx/75350.png
18;Monopoly;2 — 6;8+;90;https://www.myludo.fr/img/jeux/1758473893/300/dg/84635.png
19;Tussie Mussie;1 — 4;8+;30;https://www.myludo.fr/img/jeux/1758221039/300/cd/55723.png
20;L'Imposteur;4 — 6;10+;15;https://www.myludo.fr/img/jeux/1730309396/300/cb/53817.png
21;Héroïnes;3 — 6;12+;45;https://www.myludo.fr/img/jeux/1747667590/300/bn/39709.png
22;Odin;2 — 6;7+;15;https://www.myludo.fr/img/jeux/1757100335/300/cv/73349.png
23;Pentago;Duo;8+;15;https://www.myludo.fr/img/jeux/1705652591/300/cw/74197.png
24;Pina Coladice;2 — 4;7+;10;https://www.myludo.fr/img/jeux/1759826873/300/cw/74894.png
25;Cheesenapping!;4 — 8;6+;30 — 60;https://www.myludo.fr/img/jeux/1713424568/300/cw/74817.png
26;For A Crown;3 — 5;8+;30;https://www.myludo.fr/img/jeux/1762534999/300/dc/80678.png
27;Courtisans;2 — 5;8+;20 — 30;https://www.myludo.fr/img/jeux/1741895709/300/cv/73844.png
28;Order Overload Cafe;2 — 6;6+;30;https://www.myludo.fr/img/jeux/1727944501/300/cj/61961.png
29;Trésor Des Dragons;2 — 5;5+;15;https://www.myludo.fr/img/jeux/1663781292/300/ab/1123.png
30;Full Metal Planète;2 — 4;12+;150;https://www.myludo.fr/img/jeux/1748283572/300/as/18035.png
31;L'Enclume;2 — 12;12+;15 — 30;https://www.myludo.fr/img/jeux/1742370615/300/ci/60998.png
32;Maka Bana;3 — 6;10+;30 — 60;https://www.myludo.fr/img/jeux/1752754869/300/by/50969.png
33;Mille Sabords !;2 — 5;8+;30;https://www.myludo.fr/img/jeux/1732882597/300/ac/2734.png
34;Faraway - Le Peuple Du Dessous;2 — 7;10+;20;https://www.myludo.fr/img/jeux/1754310034/300/db/79062.png
35;Behind;1+;10+;45 — 90;https://www.myludo.fr/img/jeux/1751746039/300/da/78600.png
36;Duel Pour La Terre Du Milieu;Duo;10+;30;https://www.myludo.fr/img/jeux/1751979918/300/cz/77250.png
37;The Gang;3 — 6;10+;20;https://www.myludo.fr/img/jeux/1741896016/300/db/79285.png
38;2 Pommes 3 Pains;2 — 6;8+;15 — 30;https://www.myludo.fr/img/jeux/1753051801/300/cx/75231.png
39;Niwashi;Duo;8+;20;https://www.myludo.fr/img/jeux/1741986359/300/cx/75432.png
40;Profiler;3 — 8;10+;30;https://www.myludo.fr/img/jeux/1729961349/300/db/79240.png
41;Mamma Mia !;2 — 6;10+;30;https://www.myludo.fr/img/jeux/1739780748/300/ai/8148.png
42;Chick Chick Boom;2 — 6;7+;30;https://www.myludo.fr/img/jeux/1728986507/300/dc/80889.png
43;Pixies;2 — 5;8+;30;https://www.myludo.fr/img/jeux/1751635844/300/cw/74105.png
44;Billabong;2 — 4;10+;30 — 60;https://www.myludo.fr/img/jeux/1721785792/300/az/25427.png
45;Crazy Kick;2 — 8;8+;15;https://www.myludo.fr/img/jeux/1594570246/300/ae/4825.png
46;Crazy Kick;2 — 8;8+;15;https://www.myludo.fr/img/jeux/1743548213/300/dd/81731.png
47;Sire Sire;2 — 4;8+;20;https://www.myludo.fr/img/jeux/1700571537/300/cu/72194.png
48;Fake Crystal;2 — 5;10+;40;https://www.myludo.fr/img/jeux/1730719500/300/cv/73682.png
