ID;Nom du jeu
1;Le Hobbit - Histoire d'un Aller et Retour
2;The Vale of Eternity
3;Conspiracy
4;Jaipur
5;Éclair de génie
6;Gwent
7;Ritual
8;Nocturne
9;Sanctuary
10;Echoes - Le Croc
11;Faraway - Sous Un Ciel D'Étoiles
12;La Fabrique
13;Le Château Blanc - Duel
14;Pépite
15;Petits Soldats
16;Dragonniers
17;Tolleno
18;Legions - Nécrocampe
19;7 Wonders Dice
20;Happy Letters
21;Flea Market
22;La Cour Des Mirages
23;Ghost Manor
24;Short Story
25;Cascadia Junior
26;Osmosis
27;Toy Battle
28;Devine Moi
29;Take Time
30;Miams
31;Moonshine
32;Taboo Sans Tabous
33;Brokies
34;Tanbo
35;Galactic Cruise
36;Woof Days
37;Cat Days
38;Insurrection
39;Les Derniers Droïdes
40;Quarto
41;Onitama
42;Double Face
43;Paillettes Claquettes
44;Archéo
45;13 Feuilles
46;Tag Team
47;Pas Touche !
48;Rock Hard 1977
49;Mindbug - Tag Team
50;Là T'abuses ! - Faut Pas Pousser Mémé Dans Les Orties
51;Mouton Mouton
52;Plan de Secours
53;Trucs En Stock
54;Emblèmes
55;Machu Pichu
56;Altay
57;DaDaDa
58;Moustache
59;Karak Goblin
60;Ce Jeu est une Tuerie - Alien à Bord
61;Après-Ski
62;Panda Spin
63;Incantibus
64;Miroir Magique
65;Cookie Party
66;The Crew
67;Duel Pour Cardia
68;États d'Âme
69;Octocube
70;Drako
71;Streets Of Tokyo
72;Terres De Loups
73;Bomb Busters
74;Mindbug - Suprême - Cartes Supplémentaires
75;Mindbug - Bataille De Fruits Royale
76;Mindbug - Bataille De Fruits Galactique
77;Cric Crac Kroc
78;Skull King
79;Marabunta
80;Dorfromantik - Le Duel
81;Piggy Piggy
82;Dragons des Mers
83;Inimaginable
84;Instable
85;Flamme Rouge - Grand Tour
86;Sengoku
87;Fateflip  - Le Naufragé
88;Pixies - Flower Power
89;Sea Salt & Paper - Extra Pepper
90;Pollen
91;Joking Hazard
92;Bad Choices
93;Expressions
94;La Bataille De Versailles
95;Arcs
96;7 Yokai
97;Casque Chèque Chat ?
98;Top Ten - Aventures
99;Skyjo - Voyage
100;Chakapuces
101;Merci
102;Mieze Katze
103;Imagine
104;Salton Sea
105;Fifty
106;Last Minute
107;R.A.V.E.L.
108;Color Words
109;Rauha
110;Kronologic - Cuzco 1450
111;Dice Throne - As de la gâchette Vs Samouraï
112;Dice Throne - Barbare VS Elfe Lunaire
113;Dice Throne - Père Noël vs Krampus
114;Camarades
115;Avant Après
116;Dice Throne - Tacticien vs Chasseresse
117;Marvel Dice Throne - Scarlet Witch / Thor / Loki / Spider-Man
118;Root
119;Marvel Champions
120;Marvel Dice Throne - Captain Marvel / Black Panther / Dr Strange / Black Widow
121;Tic Tac Top
122;Oeuf Pour Oeuf
123;La Fabrique À Rêves
124;Galapa Go
125;Surfosaurus Max
126;Very Bad Lands - Brachio
127;That's Not A Hat - Incognito
128;Dilemmes de merde
129;Battle Flip - Animal
130;Taïki
131;Dungeon Legends
132;Danger
133;C'est À Moi !
134;Pyramido - Trésors Oubliés
135;Arschmallows
136;Tsukiji Market
137;Tales Of Kunugi
138;Ukiyo
139;Hantise
140;Looot
141;Dossiers Criminels Pocket - Qui A Tué Lord Ravary II ?
142;Faraway - Le Peuple Du Dessous
143;Dossiers Criminels Pocket - Qui A Tué Jasper Van Der Meer ?
144;Dossiers Criminels Pocket - Qui A Tué Meredith Carter ?
145;Mythicals
146;Les Cités Rivales
147;Once Upon A Draft
148;Akropolis - Athena
149;Sail
150;Paper World
151;Daydream
152;Regicide
153;Behind
154;Jungo
155;Marajoara
156;Odin
157;Flip 7
158;Opération Zèbre
159;Duel D'escrocs
160;Sur Les Traces De Darwin - Correspondances
161;L'Île Des Mots Dits
162;L'Art de la Boursicocotte
163;Oh My Pigeons!
164;Bonsai
165;Roule Gribouille À La Ferme
166;Mycelia
167;Candy Spiders Leopards
168;Happy DayZ - American Dream
169;Medical Mysteries - New York Service D'Urgences
170;Dracula vs Van Helsing
171;Mini Rogue
172;Genius Square XL
173;Queen Marie-Antoinette
174;Double Seven
175;Chute Libre
176;365 Aventures - Le Donjon - 2026
177;Cartzzle - Exploration Extrême
178;Cartzzle - Labyrinthe Champs dessus-dessous
179;Coriolis - Cartes Icônes
180;Cartzzle - Les Jeux d'Enfants
181;Roletime - La Plaine des Bourdonnements
182;Le Labyrinthe Magique
183;Jeu de Dames et d'Echecs
184;Claim
185;Claim 2
186;Hollywood 1947
187;Escape from the Asylum
188;Port Royal
189;Saint Seiya - Poséidon
190;Saint Seiya - Asgard
191;Saint Seiya
192;Hi Mi Ki
193;L'Ombre du Kraken
194;Ink
195;Moorland
196;Mission Aldebaran
197;Survivez jusqu'à l'aube
198;DIG 2.0
199;Parks
200;Plan Séquence
201;Les bons contes font les bons ennemis...
202;L'Île des Prédateurs
203;Les Maîtres Des Cimes
204;À Table !
205;Smitten
206;Le Roy des Ribauds
207;Leçons De Pêche
208;6 Suspects
209;Revolver Noir
210;1902 - Méliès
211;Tiny Epic Dinosaurs
212;Marvel - Remix
213;Naéco
214;Joraku
215;Il était une forêt
216;Lotta Rome
217;Kyudo
218;Stickers
219;Biomos
220;Elekt
221;Arctic
222;Spring Festival
223;Ephios
224;Bresk!
225;Cascadia Rolling - Prairies
226;Cascadia Rolling - Rivières
227;Knarr
228;99% Pure
229;Bad Company
230;Chaosphere - Black Hole
231;Tsuro
232;Open Season
233;Bossin' Space
234;Paper Dungeons
235;Happy Garden
236;Chakra
237;Hero Realms
238;Elawa
239;Nimalia
240;C'est Du Gâteau
241;Star Wars - Bounty Hunters
242;Bagarre !
243;Alhambra Roll & Write
244;Harry Potter - Stupéfix !
245;Astra
246;Fantasy Realms
247;K3
248;The Hand of Destiny
249;Focus
250;Terres De Yokai
251;BraveRats
252;Curious Garden
253;Pierre Papier Morpion
254;La marche du crabe
255;Star Realms
256;Mindbug - Éternité Suprême
257;Mindbug - Évolution Suprême
258;District Noir
259;Jekyll & Hyde vs Scotland Yard
260;Mindbug
261;Boréal
262;Agent Avenue
263;Top Cap
264;Mr. Jack - London
265;Oxono
266;Roméo & Juliette
267;Puzzle Twist - Ancient Tomb
268;Chats de poche
269;Sky Team
270;Hive Carbon
271;The Shadow Theater
272;Mastermind
273;Schotten Totten
274;Cryptide - Légendes Urbaines
275;Balconia
276;Duel Pour La Terre Du Milieu
277;Boop.
278;Harry Potter - Bataille à Poudlard - Défense contre les Forces du Mal
279;Bang! - Le duel
280;Tapas
281;Hanamikoji
282;Orion Duel
283;Donuts
284;Patchwork
285;The Hunt
286;Squadro Mini
287;Sorcellerie !
288;Radlands
289;Gold'n'Crash
290;Solstis
291;Orchard
292;Dorfromantik
293;Guild Ball : Coup d'Envoi !
294;Mémoire 44
295;Pagan
296;Mage Noir
297;Gosu X
298;Splendor Duel
299;7 Wonders Duel - Panthéon
300;7 Wonders Duel - Agora
301;7 Wonders Duel
302;Klask
303;Perplexus
304;Canvas
305;Hybris Disordered Cosmos
306;Epic Seven Arise
307;Assassin's Creed - Brotherhood of Venice
308;7 Wonders Architects
309;Carcassonne - BigBox
310;Carcassonne - Ombres et Brouillard
311;Carcassonne
312;Catane - Marins
313;Catan
314;Azul Duel
315;Azul
316;Unmatched Aventures - Chroniques Inouïes
317;Unmatched - Combats de Légende - Volume 1
318;Les Aventuriers du Rail
319;Les Aventuriers du Rail - Europe
320;Marvel Zombies - La Résistance des Héros
321;Marvel Zombies
322;7 Wonders - Édifice
323;7 Wonders - Armada
324;7 Wonders - Leaders
325;7 Wonders - Cities
326;7 Wonders
327;Abyss - Kraken
328;Abyss - Leviathan
329;Abyss
330;Unlock! Short Adventures - Red Mask
331;Unlock! Short Adventures - Le Réveil de la Momie
332;Unlock! Short Adventures - Le Chat de M. Schrödinger
333;Crime Zoom - Un écrivain mortel
334;Crime Zoom - Sa dernière carte
335;Crime Zoom - No Furs
336;Crime Zoom - Fenêtre sur crimes
337;Crime Zoom - Oiseau de Malheur
338;Echoes - Le Violon
339;Echoes - La Danseuse
340;Echoes - L'Éclipse
341;Echoes - Le Cocktail
342;Evasion - Amnésie
343;Black Stories - Femmes Fatales
344;Unlock! Short Adventures - Meurtre à Birmingham
345;En eaux troubles
346;Les Flammes d'Adlerstein
347;Alibis
348;Aventure Z - Lovecraft
349;Murder & Friends
350;MicroMacro Puzzle - Funfair
351;MicroMacro Crime City
352;MicroMacro Crime City - Showdown
353;Perspectives
354;Magicarta - Le Fantôme De La Sorcière
355;Unlock! Kids - Histoires de Détectives
356;Unlock! Kids - Histoires d'Époques
357;Unlock! Legendary Adventures
358;Unlock ! Star Wars - Escape Game
359;Unlock! Game Adventures
360;Unlock! Exotic Adventures
361;Unlock! Mythic Adventures
362;Unlock! Mystery Adventures
363;Dossiers Criminels - Le Maestro Assassiné
364;Dossiers Criminels - Disparition Aux Caraïbes
365;Sherlock Holmes - Carlton House & Queen's Park
366;Chronicles of Crime
367;Vienna Connection
368;Mortum
369;Escape The Room - Le Secret de la Retraite du Dr Gravely
370;Les Enquêtes Sous scellés - Meurtre au festival
371;L'année des 5 Empereurs
372;Scarface 1920
373;Betrayal at Baldur's Gate
374;Dead by Daylight
375;Orcs vs Orcs
376;Les Tyrans de l'Ombreterre
377;Ashes
378;Ishtar
379;Call to Adventure
380;Robinson Crusoé
381;Sa-Rê
382;Scythe
383;Nemesis
384;Shackleton Base
385;Ganymede
386;Le clan des loups
387;Imaginarium
388;Earth
389;The World of Smog : Au service de sa majesté
390;Divinus
391;The Witcher
392;Tiwanaku
393;Eat Zem All
394;Dune Imperium
395;Apiary
396;Les Ruines Perdues de Narak
397;Barrage
398;Age of Champagne
399;Clockworker
400;Root - Monde Souterrain
401;Talisman
402;The Hunger
403;Expedition Arès
404;Terraforming Mars
405;Monumental
406;Heat
407;Genpei
408;Pillards de Scythie
409;Call to Adventure - Le nom du vent
410;Res Arcana
411;Virtual Révolution
412;Eleven
413;L'île des chats
414;Raising Robots
415;Paleo - Une nouvelle ère
416;Paleo
417;Back to the Future - Retour vers le futur
418;Le trésor de Davy Jones
419;Totemix
420;Ancient Knowledge
421;Daybreak
422;Dead of Winter
423;Spirit Island
424;Horrified - Monstres Grecs
425;Aeon's End
426;Harry Potter - Bataille à Poudlard
427;Pandémie
428;Sub Terra II
429;Sub Terra
430;Betrayal at House on the Hill
431;Betrayal at House on The Hill
432;Magic Maze - Tower
433;Magic Maze
434;Tiny Acrobats
435;Circles
436;Fabulia
437;1
438;Flamme Rouge BMX
439;Ma Vie de Renard
440;Gagne ton papa !
441;Pokémon - Coffret Académie de Combat
442;Mon p'tit Everdell
443;La Course des Tortues
444;Myriades
445;Rondins des Bois
446;Roule Tampouille
447;La Toupie Voyageuse
448;Refuge
449;Dodo
450;La Maison des Souris
451;Lula
452;Allez les P'tits Poissons
453;Mimose & Sam
454;Chronicles Of Light
455;Pas Vu Pas Pris
456;Le Chemin De La Maison
457;Color'up
458;Le Grand Voyage
459;La Chasse aux Monstres
460;Pilo Pilo
461;Le grand méchant Monstre
462;Color Brain Junior
463;Tanuki
464;Carapate
465;Tetaki
466;Défis Nature Escape - le mystère des dinosaures
467;La Colline Aux Feux Follets
468;Défis Nature - Mythologie Japonaise
469;Bubble Stories Contes
470;SpellBook
471;Inori
472;Race for the Galaxy
473;Pyramido
474;Casting Shadows
475;Cartographers - Heroes
476;Caldera Park
477;Le Monde De Reterra
478;Maps of Misterra
479;Diluvium
480;Popcorn
481;Meadow
482;Clank!
483;Clank! - La Grande Aventure
484;Captain Sonar
485;Room 25
486;Les Tours Ambulantes
487;Planet Unknown
488;Challengers! - Beach Cup
489;Challengers!
490;Hutan
491;Sur les traces de Marie Curie
492;Sur les traces de Darwin
493;Kauri
494;Marvel Villainous
495;Villainous
496;Redac'Chef
497;Harmonies
498;Seasons
499;Reflecto
500;Aetherya II - La Genèse
501;Aetherya
502;Nidavellir
503;Akropolis
504;Les Charlatans de Belcastel
505;Narcopolis
506;Survive The Island
507;Art Society
