id_jeu;nom;nb_joueurs_min;nb_joueur_max;age_min;Unnamed: 5;lien_photo;extension;duree_min;duree_max;type;description
593;La Chasse Aux Monstres;1.0;6.0;3.0;;https://www.myludo.fr/img/jeux/1756067140/300/aa/587.png;;10;;Jeu pour enfants;La Chasse aux Monstres est un jeu de société coopératif pour enfants dans lequel les joueurs doivent retrouver et capturer des monstres cachés sous le lit avant l’arrivée du grand monstre. En faisant appel à la mémoire, à l’observation et à l’entraide, les enfants fouillent la chambre, soulèvent des objets et apprennent à gagner ou perdre ensemble dans une ambiance ludique et rassurante.
590;Mon Premier Carcassonne;2.0;4.0;4.0;;https://www.myludo.fr/img/jeux/1759307805/300/ai/8360.png;;10;;Placement de tuiles;My First Carcassonne est un jeu de société de pose de tuiles de style allemand développé par Marco Teubner. Il s'agit d'un jeu de la série Carcassonne, édité par Hans im Glück en Allemagne et Z-Man Games en Amérique du Nord. My First Carcassonne est le troisième spin-off de Carcassonne, après Carcassonne : Le Château et Carcassonne : La Découverte.
781;Halli Galli Junior;2.0;4.0;4.0;;https://www.myludo.fr/img/jeux/1660240545/300/ag/6515.png;;15;;Jeu de rapidité;Halli Galli est un jeu de société de rapidité et d'observation où le but est de gagner toutes les cartes.
595;L'Âge De Pierre Junior;2.0;4.0;5.0;;https://www.myludo.fr/img/jeux/1747310322/300/aa/683.png;;15;;Jeu pour enfants;L’Âge de Pierre Junior est un jeu de société accessible aux enfants qui les plonge dans la Préhistoire. Les joueurs incarnent de jeunes chasseurs-cueilleurs et collectent des ressources comme la nourriture ou les outils afin de construire leur village. Avec des règles simples et progressives, le jeu développe la planification, la prise de décision et la gestion de ressources dans un univers ludique et coloré, adapté aux plus jeunes.
404;Pikzi;2.0;5.0;5.0;;https://www.myludo.fr/img/jeux/1582579991/300/bf/31252.png;;15;;Jeu pour enfants;Pikzi est un jeu d’observation et de rapidité dans lequel les joueurs doivent retrouver le plus vite possible des objets ou des détails précis dans de grandes images illustrées. En comparant les cartes indices avec les scènes proposées, chacun tente d’identifier le bon élément avant les autres. Le jeu stimule l’attention visuelle, la concentration et la réactivité, tout en restant accessible et convivial pour toute la famille.
29;Trésor Des Dragons;2.0;5.0;5.0;;https://www.myludo.fr/img/jeux/1663781292/300/ab/1123.png;;15;;Jeu pour enfants;Trésor Des Dragons est un jeu d’observation et de rapidité où il faut repérer les bons trésors avant les autres joueurs. Chaque carte crée une nouvelle configuration qui teste l’attention de tous. Le rythme est soutenu et les erreurs fréquentes. Le jeu est simple, efficace et très amusant avec des enfants.
455;Panic Cafard;2.0;4.0;5.0;;https://www.myludo.fr/img/jeux/1701433207/300/ac/2399.png;;15;20.0;Jeu pour enfants;Panic Cafard est un jeu frénétique où une cafard robot se déplace dans un labyrinthe et les joueurs doivent anticiper où elle ressortira. L’aléatoire crée des moments hilarants. Les réflexes et l’intuition sont essentiels. Le jeu met une ambiance de folie autour de la table.
545;Pool Party;2.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1570022619/300/au/20868.png;;10;;Jeu pour enfants;Pool Party est un jeu d’adresse où l’on doit catapulter des plongeurs dans une piscine miniature. Les tirs ratés provoquent des rebonds imprévisibles. Le rythme est rapide et très fun. C’est un jeu parfait pour les enfants et les familles.
698;Crossing;3.0;6.0;6.0;;https://www.myludo.fr/img/jeux/1716914755/300/ab/1681.png;;15;;Jeu pour enfants;Crossing est un jeu de prise de décisions simultanées où les joueurs tentent de voler ou protéger des gemmes. Les choix des autres déterminent tout, ce qui crée bluff, tension et retournements. Les parties sont rapides et très interactives. Le jeu brille en grand groupe.
966;Dr. Eureka;1.0;4.0;6.0;;https://www.myludo.fr/img/jeux/1730279261/300/aa/947.png;;15;;Jeu pour enfants;Dr. Eureka est un jeu de rapidité où il faut manipuler des tubes et des billes sans jamais les toucher avec les mains. Les défis deviennent de plus en plus difficiles. Le jeu mélange logique, adresse et vitesse. C’est parfait pour les enfants et les défis en famille.
714;Gobbit;2.0;8.0;6.0;;https://www.myludo.fr/img/jeux/1692718247/300/aa/696.png;;15;;Jeu pour enfants;Gobbit est un jeu de réflexes où les joueurs doivent frapper la bonne carte suivant une chaîne alimentaire simple mais explosive. Le chaos monte vite et tout le monde s’emballe. Le jeu est ultra dynamique et hilarant. Les parties s’enchaînent sans pause.
852;Gobbit Angry Birds;2.0;8.0;6.0;;https://www.myludo.fr/img/jeux/1609177227/300/aa/632.png;;15;;Jeu pour enfants;Gobbit Angry Birds reprend le principe de Gobbit en ajoutant les personnages et pouvoirs de la licence. Les interactions deviennent encore plus folles. Le jeu est toujours aussi rapide et nerveux. C’est une version idéale pour les fans et les enfants.
